Time(seconds),Bus Name,Signal Name,Data
3.934138000,Async 5,Digital 6,00
3.934224000,Async 5,Digital 6,00
3.934311000,Async 5,Digital 6,00
3.934398000,Async 5,Digital 6,00
3.934484000,Async 5,Digital 6,00
3.934571000,Async 5,Digital 6,00
3.934658000,Async 5,Digital 6,00
3.934745000,Async 5,Digital 6,00
3.934831000,Async 5,Digital 6,00
3.934918000,Async 5,Digital 6,00
3.935005000,Async 5,Digital 6,00
3.935091000,Async 5,Digital 6,00
3.935178000,Async 5,Digital 6,00
3.935265000,Async 5,Digital 6,00
3.935352000,Async 5,Digital 6,00
3.935438000,Async 5,Digital 6,00
3.935525000,Async 5,Digital 6,00
3.935612000,Async 5,Digital 6,00
3.935698000,Async 5,Digital 6,00
3.935785000,Async 5,Digital 6,00
3.935872000,Async 5,Digital 6,00
3.935959000,Async 5,Digital 6,00
3.936045000,Async 5,Digital 6,00
3.936132000,Async 5,Digital 6,00
3.936219000,Async 5,Digital 6,00
3.936305000,Async 5,Digital 6,00
3.936392000,Async 5,Digital 6,00
3.936479000,Async 5,Digital 6,00
3.936565000,Async 5,Digital 6,00
3.936652000,Async 5,Digital 6,00
3.936739000,Async 5,Digital 6,00
3.936826000,Async 5,Digital 6,00
3.936912000,Async 5,Digital 6,00
3.936999000,Async 5,Digital 6,00
3.937086000,Async 5,Digital 6,00
3.937172000,Async 5,Digital 6,00
3.937259000,Async 5,Digital 6,00
3.937346000,Async 5,Digital 6,00
3.937433000,Async 5,Digital 6,00
3.937519000,Async 5,Digital 6,00
3.937606000,Async 5,Digital 6,00
3.937693000,Async 5,Digital 6,00
3.937779000,Async 5,Digital 6,00
3.937866000,Async 5,Digital 6,00
3.937953000,Async 5,Digital 6,00
3.938040000,Async 5,Digital 6,00
3.938126000,Async 5,Digital 6,00
3.938213000,Async 5,Digital 6,00
3.938300000,Async 5,Digital 6,00
3.938386000,Async 5,Digital 6,00
3.938473000,Async 5,Digital 6,00
3.938560000,Async 5,Digital 6,00
3.938647000,Async 5,Digital 6,00
3.938733000,Async 5,Digital 6,00
3.938820000,Async 5,Digital 6,00
3.938907000,Async 5,Digital 6,00
3.938993000,Async 5,Digital 6,00
3.939080000,Async 5,Digital 6,00
3.939167000,Async 5,Digital 6,00
3.939254000,Async 5,Digital 6,00
3.939340000,Async 5,Digital 6,00
3.939427000,Async 5,Digital 6,00
3.939514000,Async 5,Digital 6,00
3.939860000,Async 5,Digital 6,04
3.939947000,Async 5,Digital 6,13
3.940034000,Async 5,Digital 6,05
3.940121000,Async 5,Digital 6,01
3.940207000,Async 5,Digital 6,46
3.940294000,Async 5,Digital 6,00
3.940381000,Async 5,Digital 6,01
3.940467000,Async 5,Digital 6,00
3.940650000,Async 5,Digital 6,04
3.940736000,Async 5,Digital 6,0B
3.940823000,Async 5,Digital 6,0B
3.940910000,Async 5,Digital 6,00
3.940996000,Async 5,Digital 6,46
